UCD2A,UCD2C,UCD2D,UCD2G,UCD2H,UCD2I,UCD2J,UCD2K,UCF17,AN4,AN8,AN11,HH6,HL4,HAP,WAP,WHP,BMI,windex5,melevel
NO,NO,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,4,16.3,106.4,URBAN,MALE,27.5,15.4,20.6,14.4,Richest,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,,1,7.8,76.2,URBAN,MALE,.6,.1,.2,13.43,Middle,Higher secondary+
NO,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,3,9.800000000000001,84.59999999999999,URBAN,FEMALE,.4,.1,3.4,13.69,Fourth,Primary
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,3,14.7,99.09999999999999,URBAN,MALE,27.7,19,27.5,14.97,Richest,Higher secondary+
YES,NO,NO,NO,NO,NO,NO,NO,NO DIFFICULTY,4,13,96.09999999999999,URBAN,FEMALE,1.3,1.6,13.9,14.08,Richest,Higher secondary+
NO,YES,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,2,11.7,85.8,URBAN,FEMALE,43.9,32.8,38.9,15.89,Richest,Higher secondary+
NO,YES,YES,NO,YES,NO,NO,NO,,1,8.699999999999999,79.2,URBAN,FEMALE,11.9,1.8,2.3,13.87,Second,Secondary
,,,,,,,,,0,10.7,77.40000000000001,URBAN,FEMALE,91.59999999999999,90.40000000000001,76.5,17.86,Poorest,Primary
NO,NO,NO,NO,NO,NO,NO,NO,,1,8.199999999999999,76.3,URBAN,MALE,19.7,.9,.9,14.09,Poorest,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,,1,9.800000000000001,73.7,URBAN,MALE,12.2,30.3,63,18.04,Poorest,Primary
YES,YES,YES,YES,NO,YES,YES,YES,NO DIFFICULTY,3,12.3,90.8,URBAN,MALE,5.3,4.4,16.5,14.92,Second,Secondary
NO,YES,YES,NO,NO,NO,NO,NO,,1,8.4,73.8,URBAN,FEMALE,3.6,3.2,13.6,15.42,Second,Secondary
,,,,,,,,,0,2.8,41.7,URBAN,MALE,0,.9,99.90000000000001,16.1,Second,Higher secondary+
YES,YES,YES,YES,NO,YES,YES,YES,SOME DIFFICULTY,3,15.1,107.2,URBAN,FEMALE,99.59999999999999,54.6,6.8,13.14,Fourth,Secondary
YES,NO,YES,NO,NO,NO,NO,NO,NO DIFFICULTY,4,15.9,101.8,URBAN,FEMALE,18.1,28.1,51.2,15.34,Richest,Primary
YES,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,3,14.8,97.90000000000001,URBAN,MALE,33.5,28.3,38.2,15.44,Second,Primary
YES,YES,YES,NO,NO,YES,YES,YES,SOME DIFFICULTY,3,11.6,92.7,URBAN,MALE,3.3,.8,2.9,13.5,Poorest,Primary
YES,YES,YES,YES,YES,NO,NO,NO,NO DIFFICULTY,4,15.7,102.6,URBAN,MALE,15.6,14.5,29.9,14.91,Fourth,Secondary
NO,YES,YES,NO,YES,NO,NO,NO,NO DIFFICULTY,3,14.2,97.90000000000001,URBAN,FEMALE,83.59999999999999,50.2,31.6,14.82,Richest,Secondary
,,,,,,,,,0,9,68.7,URBAN,MALE,30.8,69,84,19.07,Richest,Higher secondary+
