,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
0,NO,NO,YES,NO,NO DIFFICULTY,16.3,MALE,15.4,Richest,Higher secondary+
2,NO,NO,NO,NO,NO DIFFICULTY,9.8,FEMALE,0.1,Fourth,Primary
3,NO,YES,NO,NO,NO DIFFICULTY,14.7,MALE,19.0,Richest,Higher secondary+
4,YES,NO,NO,NO,NO DIFFICULTY,13.0,FEMALE,1.6,Richest,Higher secondary+
5,NO,YES,NO,NO,NO DIFFICULTY,11.7,FEMALE,32.8,Richest,Higher secondary+
10,YES,YES,NO,YES,NO DIFFICULTY,12.3,MALE,4.4,Second,Secondary
13,YES,YES,NO,YES,HAVE DIFFICULTY,15.1,FEMALE,54.6,Fourth,Secondary
14,YES,NO,NO,NO,NO DIFFICULTY,15.9,FEMALE,28.1,Richest,Primary
15,YES,YES,YES,NO,NO DIFFICULTY,14.8,MALE,28.3,Second,Primary
16,YES,YES,NO,YES,HAVE DIFFICULTY,11.6,MALE,0.8,Poorest,Primary
17,YES,YES,YES,NO,NO DIFFICULTY,15.7,MALE,14.5,Fourth,Secondary
18,NO,YES,YES,NO,NO DIFFICULTY,14.2,FEMALE,50.2,Richest,Secondary
21,YES,YES,YES,NO,NO DIFFICULTY,12.3,MALE,3.1,Poorest,Primary
24,NO,YES,YES,NO,HAVE DIFFICULTY,10.3,MALE,3.4,Fourth,Secondary
27,NO,YES,NO,YES,NO DIFFICULTY,10.0,MALE,0.4,Poorest,Primary
28,YES,YES,NO,NO,HAVE DIFFICULTY,11.9,FEMALE,28.8,Poorest,Primary
29,NO,YES,YES,NO,NO DIFFICULTY,11.2,MALE,2.7,Middle,Secondary
30,NO,YES,YES,NO,HAVE DIFFICULTY,15.7,FEMALE,19.9,Second,Primary
33,YES,YES,YES,NO,HAVE DIFFICULTY,11.4,FEMALE,1.4,Poorest,Primary
34,NO,YES,YES,NO,HAVE DIFFICULTY,12.3,MALE,21.0,Poorest,Primary
35,YES,YES,NO,NO,HAVE DIFFICULTY,13.1,MALE,1.7,Poorest,Secondary
39,NO,NO,NO,NO,HAVE DIFFICULTY,13.2,MALE,30.3,Middle,Higher secondary+
44,YES,NO,NO,NO,NO DIFFICULTY,13.8,FEMALE,2.6,Poorest,Higher secondary+
48,NO,YES,YES,NO,NO DIFFICULTY,10.3,MALE,0.8,Second,Primary
49,YES,YES,YES,YES,HAVE DIFFICULTY,9.6,MALE,0.4,Poorest,Primary
50,NO,NO,YES,NO,HAVE DIFFICULTY,16.5,FEMALE,71.4,Poorest,Secondary
53,YES,YES,YES,NO,NO DIFFICULTY,10.6,MALE,2.1,Poorest,Secondary
54,YES,YES,NO,YES,HAVE DIFFICULTY,10.8,FEMALE,1.5,Poorest,Primary
55,YES,NO,NO,NO,NO DIFFICULTY,15.2,FEMALE,19.2,Middle,Higher secondary+
59,YES,NO,NO,NO,HAVE DIFFICULTY,9.9,MALE,0.4,Poorest,Primary
61,YES,NO,NO,NO,HAVE DIFFICULTY,13.8,MALE,16.7,Poorest,Secondary
63,NO,NO,NO,NO,HAVE DIFFICULTY,12.1,FEMALE,14.9,Fourth,Higher secondary+
65,YES,YES,YES,NO,NO DIFFICULTY,12.9,MALE,1.3,Second,Primary
68,NO,YES,YES,NO,HAVE DIFFICULTY,11.2,FEMALE,2.4,Poorest,Primary
69,NO,YES,YES,NO,NO DIFFICULTY,13.6,FEMALE,15.5,Fourth,Secondary
71,YES,YES,NO,NO,HAVE DIFFICULTY,14.8,FEMALE,41.4,Poorest,Secondary
74,NO,YES,YES,NO,NO DIFFICULTY,11.6,MALE,2.3,Poorest,Primary
75,YES,YES,NO,NO,NO DIFFICULTY,13.4,MALE,2.4,Poorest,Secondary
77,NO,NO,YES,NO,NO DIFFICULTY,11.0,FEMALE,10.0,Poorest,Primary
78,NO,YES,YES,NO,NO DIFFICULTY,13.6,MALE,2.0,Poorest,Primary
79,NO,NO,NO,NO,NO DIFFICULTY,16.2,FEMALE,36.8,Poorest,Primary
82,YES,YES,YES,YES,NO DIFFICULTY,9.3,FEMALE,1.1,Poorest,Secondary
