,Removed_privileges,Shook_child,Called_dumb_lazy,Beat_hard,Learning_skill,Child's_weight,Sex,Weight_age_P,Wealth_index,Mother's_education
0,1,1,0,1,0,16.3,0,15.4,4,3
2,1,1,1,1,0,9.8,1,0.1,3,1
3,1,0,1,1,0,14.7,0,19.0,4,3
4,0,1,1,1,0,13.0,1,1.6,4,3
5,1,0,1,1,0,11.7,1,32.8,4,3
10,0,0,1,0,0,12.3,0,4.4,1,2
13,0,0,1,0,1,15.1,1,54.6,3,2
14,0,1,1,1,0,15.9,1,28.1,4,1
15,0,0,0,1,0,14.8,0,28.3,1,1
16,0,0,1,0,1,11.6,0,0.8,0,1
17,0,0,0,1,0,15.7,0,14.5,3,2
18,1,0,0,1,0,14.2,1,50.2,4,2
21,0,0,0,1,0,12.3,0,3.1,0,1
24,1,0,0,1,1,10.3,0,3.4,3,2
27,1,0,1,0,0,10.0,0,0.4,0,1
28,0,0,1,1,1,11.9,1,28.8,0,1
29,1,0,0,1,0,11.2,0,2.7,2,2
30,1,0,0,1,1,15.7,1,19.9,1,1
33,0,0,0,1,1,11.4,1,1.4,0,1
34,1,0,0,1,1,12.3,0,21.0,0,1
35,0,0,1,1,1,13.1,0,1.7,0,2
39,1,1,1,1,1,13.2,0,30.3,2,3
44,0,1,1,1,0,13.8,1,2.6,0,3
48,1,0,0,1,0,10.3,0,0.8,1,1
49,0,0,0,0,1,9.6,0,0.4,0,1
50,1,1,0,1,1,16.5,1,71.4,0,2
53,0,0,0,1,0,10.6,0,2.1,0,2
54,0,0,1,0,1,10.8,1,1.5,0,1
55,0,1,1,1,0,15.2,1,19.2,2,3
59,0,1,1,1,1,9.9,0,0.4,0,1
61,0,1,1,1,1,13.8,0,16.7,0,2
63,1,1,1,1,1,12.1,1,14.9,3,3
65,0,0,0,1,0,12.9,0,1.3,1,1
68,1,0,0,1,1,11.2,1,2.4,0,1
69,1,0,0,1,0,13.6,1,15.5,3,2
71,0,0,1,1,1,14.8,1,41.4,0,2
74,1,0,0,1,0,11.6,0,2.3,0,1
75,0,0,1,1,0,13.4,0,2.4,0,2
77,1,1,0,1,0,11.0,1,10.0,0,1
78,1,0,0,1,0,13.6,0,2.0,0,1
79,1,1,1,1,0,16.2,1,36.8,0,1
82,0,0,0,0,0,9.3,1,1.1,0,2
85,0,0,1,0,0,14.7,0,21.5,0,2
86,0,0,1,1,0,13.6,0,1.5,1,1
87,0,0,0,0,0,15.3,1,25.7,0,3
88,1,0,0,1,0,10.4,0,2.1,0,2
90,1,0,0,1,0,11.3,0,9.2,1,3
91,1,1,1,1,0,14.4,1,5.5,2,3
92,1,0,0,1,0,11.8,1,1.1,0,1
93,0,0,0,0,1,14.0,0,32.8,0,0
96,0,0,0,1,0,13.8,1,18.0,0,2
101,1,0,0,1,0,18.4,0,66.1,0,3
105,0,1,1,1,0,11.9,0,0.1,0,3
106,0,0,1,0,0,16.3,0,25.6,4,1
108,0,0,0,0,0,8.9,0,0.1,0,1
109,1,1,1,1,1,9.2,0,0.1,1,0
111,0,0,0,1,0,12.4,0,1.3,0,2
112,0,0,0,1,0,12.6,0,1.7,0,2
114,0,0,1,1,1,11.5,0,2.1,0,2
115,0,0,0,1,0,15.3,0,11.8,1,3
118,0,0,0,1,0,13.8,1,24.7,1,2
119,0,0,1,0,0,14.3,1,29.4,3,3
121,0,0,1,0,1,11.6,1,0.8,1,0
123,0,0,0,1,0,12.0,0,4.3,2,2
127,0,0,1,0,1,12.4,1,17.9,4,2
128,0,0,1,0,0,13.4,1,7.0,1,2
130,0,1,1,1,1,15.8,1,31.4,1,1
132,1,0,0,1,1,14.3,1,14.3,1,2
134,1,0,1,0,1,11.2,0,7.3,1,1
135,0,0,0,0,0,13.0,1,4.3,2,2
136,0,1,1,1,0,11.2,0,2.7,0,3
137,1,0,1,1,1,10.8,0,2.4,1,1
138,0,0,1,1,1,12.5,1,1.8,1,1
140,0,0,1,0,0,15.2,0,11.9,0,1
141,0,0,0,1,1,10.6,1,0.1,1,2
142,0,0,1,0,1,12.7,0,0.3,0,1
143,1,0,0,1,1,10.3,1,1.0,0,1
144,0,0,0,0,0,11.7,1,7.9,0,1
146,0,0,0,1,0,11.6,1,9.0,1,2
148,1,0,1,1,0,14.4,0,38.8,2,2
149,1,0,0,1,1,11.2,1,1.3,1,2
151,0,0,0,1,0,13.7,1,26.3,0,2
152,1,1,1,1,0,12.7,1,45.2,1,3
153,1,0,1,1,0,12.1,0,4.2,4,3
155,0,0,0,0,1,14.3,1,7.1,2,2
156,1,0,1,1,1,15.2,0,8.7,2,1
158,1,1,1,1,1,11.1,0,0.6,0,1
159,0,0,0,1,0,16.6,1,37.5,4,3
